sample_id,label,size_model,size_params_json,label_coarse,label_family,n_particles,pattern_params,seed_offset
sample_000145,C05_Sector_Internal,weibull,"{""k"": 1.6136325884274707, ""lambda_um"": 0.10599847726456227, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,58,"{""angle_center_rad"": 2.5950232823058785, ""angle_width_deg"": 112.00340542113179, ""edge_margin_norm"": 0.05, ""n_particles"": 58, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.1313067779687657, ""r_outer_ratio"": 0.8106292926528934, ""radial_beta_alpha"": 3.9018851165715525, ""radial_beta_beta"": 1.6963094116877047, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 6.400092891367995, ""wafer_radius_mm"": 150.0}",145
sample_000146,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4268312777249267, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.025435491696947386}",,,188,"{""center_angle"": ""random"", ""center_angle_rad"": 1.717049903023661, ""center_radius_ratio"": 0.0671522355046135, ""mode"": ""random"", ""n_particles"": 188, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.9790757284238845, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.03830271775782857, ""sigma_y_ratio"": 0.052668981605793044, ""wafer_radius_mm"": 150.0}",146
sample_000147,C07_StraightLine,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.902555251437172, ""per_sample"": true, ""sigma_log"": 0.7047787686096825}",,,12,"{""angle_deg"": 50.83104455757826, ""n_particles"": 12, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.2054022550273113, ""params"": {""segment_half_length_norm"": 0.23182787952872597, ""width_norm"": 0.05986279648939262}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.37230081255587516, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.019461230264767423}",147
sample_000148,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6696347479359457, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08113943648138054}",,,16,"{""angle_deg"": 60.329532141383524, ""n_particles"": 16, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2734417164656014, ""params"": {""segment_half_length_norm"": 0.19562509730386526, ""width_norm"": 0.047106648535078705}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.583241967464139, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01973109176791711}",148
sample_000149,ring_wide,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.5446178048995232, ""per_sample"": true, ""sigma_log"": 0.36627197827250046}",ring,ring,153,"{""n_particles"": 153, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",149
sample_000150,C11_Hotspot_Elliptic,pareto,"{""alpha"": 3.9644525671127466, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2479743681110686}",,,79,"{""center_angle"": ""random"", ""center_angle_rad"": 5.089554872279183, ""center_radius_ratio"": 0.5520114516803758, ""mode"": ""random"", ""n_particles"": 79, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.2554609232618943, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.11488023463669464, ""sigma_y_ratio"": 0.07150371159020397, ""wafer_radius_mm"": 150.0}",150
sample_000151,ring_wide,pareto,"{""alpha"": 2.223034746826272, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.22728036794040707}",ring,ring,178,"{""n_particles"": 178, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",151
sample_000152,C06_RadialLines,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.5118899923253055, ""per_sample"": true, ""sigma_log"": 0.7444438132772031}",,,200,"{""angular_jitter_deg"": 1.9281459769120801, ""n_lines"": 6, ""n_particles"": 200, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 8.0, ""r_max_norm"": 0.9395584911422826, ""r_min_norm"": 0.1565912884737727, ""sigma_perp_norm"": 0.046108054023850736}, ""r_max_ratio"": 0.6321373503614429, ""r_min_ratio"": 0.07986641399781542, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.009484038892346405, ""wafer_radius_mm"": 150.0}",152
sample_000153,C08_CurvedScratch,weibull,"{""k"": 1.2380667908797025, ""lambda_um"": 0.31111183341691295, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,67,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 4.381670329937241, ""arc_radius_ratio"": 0.8108288256224337, ""n_particles"": 67, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.41898162411872225, ""span_rad"": 0.40157244840234396, ""width_norm"": 0.04393317268506493}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 47.73893863399017, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.053979754477638794}",153
sample_000154,C02_EdgeBiased,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.5115266698525076, ""per_sample"": true, ""sigma_log"": 0.588526289379286}",,,68,"{""edge_bias"": 1.9238491852198438, ""n_particles"": 68, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",154
sample_000155,ring_wide,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.5342219041098328, ""per_sample"": true, ""sigma_log"": 0.28390532767556664}",ring,ring,163,"{""n_particles"": 163, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",155
sample_000156,C04_Sector_Edge,pareto,"{""alpha"": 3.2584259463407066, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.29372191138699183}",,,199,"{""angle_center_rad"": 2.7393742421346032, ""angle_width_deg"": 38.735414632680275, ""edge_width_ratio"": 0.2615335622026329, ""n_particles"": 199, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.924545374309863, ""radial_beta_beta"": 0.9414581359789791, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 0.9018840282125273, ""wafer_radius_mm"": 150.0}",156
sample_000157,C02_EdgeBiased,weibull,"{""k"": 1.30944250313253, ""lambda_um"": 0.07853965506100394, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,25,"{""edge_bias"": 3.396150881904216, ""n_particles"": 25, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",157
sample_000158,C06_RadialLines,weibull,"{""k"": 2.357878476503452, ""lambda_um"": 0.09577438497515753, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,52,"{""angular_jitter_deg"": 0.835524114743823, ""n_lines"": 4, ""n_particles"": 52, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 4.0, ""r_max_norm"": 0.9822225700314307, ""r_min_norm"": 0.238770431321159, ""sigma_perp_norm"": 0.06789932029876396}, ""r_max_ratio"": 0.6246315549598365, ""r_min_ratio"": 0.05118077833789253, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.028955856097207664, ""wafer_radius_mm"": 150.0}",158
sample_000159,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.2806213260552976, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.028629094671071078}",,,99,"{""center_angle"": ""random"", ""center_angle_rad"": 3.8185912845282894, ""center_radius_ratio"": 0.5479051083693603, ""mode"": ""random"", ""n_particles"": 99, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.4890466413260395, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.05997319827721781, ""sigma_y_ratio"": 0.04462681265133754, ""wafer_radius_mm"": 150.0}",159
sample_000160,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6526017084961292, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.0992569987353065}",,,42,"{""angle_center_rad"": 5.166656696181216, ""angle_width_deg"": 77.63084829034639, ""edge_width_ratio"": 0.25040118954729695, ""n_particles"": 42, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.744174546323983, ""radial_beta_beta"": 1.2724485794995732, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.57268295704404, ""wafer_radius_mm"": 150.0}",160
sample_000161,C08_CurvedScratch,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.38671361058601716, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.031863775038119206}",,,16,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 2.8479875030696506, ""arc_radius_ratio"": 0.40022292389615216, ""n_particles"": 16, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.5169628512197688, ""span_rad"": 0.6227595106755717, ""width_norm"": 0.062070498814880005}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 66.10892386456267, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03014072720533733}",161
sample_000162,C05_Sector_Internal,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.748177916129575, ""per_sample"": true, ""sigma_log"": 0.3378083539893657}",,,26,"{""angle_center_rad"": 5.542874850125075, ""angle_width_deg"": 86.80247917156234, ""edge_margin_norm"": 0.05, ""n_particles"": 26, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.18728140304375124, ""r_outer_ratio"": 0.8461328284596388, ""radial_beta_alpha"": 2.5252126157093553, ""radial_beta_beta"": 3.1397817388619815, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 4.739897996936423, ""wafer_radius_mm"": 150.0}",162
sample_000163,C01_Uniform,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.2201530027275278, ""per_sample"": true, ""sigma_log"": 0.552690004870637}",,,189,"{""n_particles"": 189, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",163
sample_000164,C11_Hotspot_Elliptic,pareto,"{""alpha"": 3.2771556804172337, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.23934210649407256}",,,140,"{""center_angle"": ""random"", ""center_angle_rad"": 0.5042272243279052, ""center_radius_ratio"": 0.3089491208462172, ""mode"": ""random"", ""n_particles"": 140, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.3092702314502755, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.05596318788223664, ""sigma_y_ratio"": 0.04096858146302829, ""wafer_radius_mm"": 150.0}",164
sample_000165,C06_RadialLines,weibull,"{""k"": 2.155484881941051, ""lambda_um"": 0.25991149438117117, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,101,"{""angular_jitter_deg"": 0.908954598660775, ""n_lines"": 8, ""n_particles"": 101, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 5.0, ""r_max_norm"": 0.8047595273349151, ""r_min_norm"": 0.22264315768247758, ""sigma_perp_norm"": 0.03381729252877824}, ""r_max_ratio"": 0.897227014309561, ""r_min_ratio"": 0.24636697833730786, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.02107312329039407, ""wafer_radius_mm"": 150.0}",165
sample_000166,C08_CurvedScratch,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.12231509876962321, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.031431953185657495}",,,185,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 5.391521930426476, ""arc_radius_ratio"": 0.5675556267435498, ""n_particles"": 185, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.5220253224749194, ""span_rad"": 0.3916291117988343, ""width_norm"": 0.048077944954498075}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 46.80475196200324, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01972728673491219}",166
sample_000167,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6023305657819478, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.02646644015550753}",,,176,"{""center_angle"": ""random"", ""center_angle_rad"": 2.6263058574664546, ""center_radius_ratio"": 0.8421378689429603, ""mode"": ""random"", ""n_particles"": 176, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.29414899223561447, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.05373637918336636, ""sigma_y_ratio"": 0.07501274974424461, ""wafer_radius_mm"": 150.0}",167
sample_000168,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.494344380966474, ""per_sample"": true, ""sigma_log"": 0.8028741463467952}",,,83,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 3.8886472217784394, ""arc_radius_ratio"": 0.45230824089517657, ""n_particles"": 83, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.8349331901500625, ""span_rad"": 0.7637690317780441, ""width_norm"": 0.0649537511104428}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 79.54197814084614, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.05395007609986554}",168
sample_000169,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.432874954952733, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.020507667612636303}",,,168,"{""center_angle"": ""random"", ""center_angle_rad"": 0.4298583763843495, ""center_radius_ratio"": 0.7345099373481793, ""mode"": ""random"", ""n_particles"": 168, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 4.843442782548723, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.07102023850000885, ""sigma_y_ratio"": 0.035063069499622956, ""wafer_radius_mm"": 150.0}",169
sample_000170,edge_sector_right,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.412428996459026, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08520859707103227}",sector,edge_sector,48,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 48, ""name"": ""wafer_particles.pattern.edge_sector"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""wafer_radius_mm"": 150.0}",170
sample_000171,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.3769405582154487, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.04748005356362574}",,,92,"{""angle_center_rad"": 4.032547538076756, ""angle_width_deg"": 29.333659247358167, ""edge_width_ratio"": 0.13887174979285488, ""n_particles"": 92, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.8232271886024085, ""radial_beta_beta"": 0.8991819002608574, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.852779561338854, ""wafer_radius_mm"": 150.0}",171
sample_000172,C02_EdgeBiased,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.4281546302455373, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.09761041827028302}",,,181,"{""edge_bias"": 1.3001100999866266, ""n_particles"": 181, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",172
sample_000173,C01_Uniform,weibull,"{""k"": 2.7864063999837487, ""lambda_um"": 0.27740706773604007, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,23,"{""n_particles"": 23, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",173
sample_000174,C07_StraightLine,weibull,"{""k"": 1.5219883991883694, ""lambda_um"": 0.128680132962154, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,162,"{""angle_deg"": 114.97618086899631, ""n_particles"": 162, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.12488355964634099, ""params"": {""segment_half_length_norm"": 0.13989498802410422, ""width_norm"": 0.046025923323450124}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6506048083978886, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.021725922108420104}",174
sample_000175,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.7173691984446817, ""per_sample"": true, ""sigma_log"": 0.8234974597936489}",,,194,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 3.5650797988410856, ""arc_radius_ratio"": 0.47411931725879886, ""n_particles"": 194, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.6904873923601136, ""span_rad"": 0.5487046694099772, ""width_norm"": 0.04024978989483555}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 115.52234018569622, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020642243181807702}",175
sample_000176,C11_Hotspot_Elliptic,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.5746713669733241, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.0539492896192426}",,,171,"{""center_angle"": ""random"", ""center_angle_rad"": 0.17100880585492442, ""center_radius_ratio"": 0.25248834645696433, ""mode"": ""random"", ""n_particles"": 171, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.4415832879217594, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08539924032049931, ""sigma_y_ratio"": 0.04420922105044573, ""wafer_radius_mm"": 150.0}",176
sample_000177,C06_RadialLines,pareto,"{""alpha"": 2.6760629690279742, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2901377595486886}",,,117,"{""angular_jitter_deg"": 0.4279507378540637, ""n_lines"": 4, ""n_particles"": 117, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 5.0, ""r_max_norm"": 0.8656373504592123, ""r_min_norm"": 0.27906881525397875, ""sigma_perp_norm"": 0.04193533117573403}, ""r_max_ratio"": 0.7103114914574017, ""r_min_ratio"": 0.20165125931367978, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.011512730397350155, ""wafer_radius_mm"": 150.0}",177
sample_000178,C07_StraightLine,weibull,"{""k"": 2.455777365911322, ""lambda_um"": 0.3606621182005, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,57,"{""angle_deg"": 71.16268602094034, ""n_particles"": 57, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.031652881127153476, ""params"": {""segment_half_length_norm"": 0.32193792748618477, ""width_norm"": 0.04227944662606624}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4257061262188102, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020312378657314722}",178
sample_000179,random_uniform,weibull,"{""k"": 0.8974989489838515, ""lambda_um"": 0.252533612398642, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",random,random,11,"{""n_particles"": 11, ""name"": ""wafer_particles.pattern.random_uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",179
sample_000180,C01_Uniform,pareto,"{""alpha"": 2.8120133619811396, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.1065174116437468}",,,97,"{""n_particles"": 97, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",180
sample_000181,C04_Sector_Edge,pareto,"{""alpha"": 2.683945865571516, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2572193767579779}",,,79,"{""angle_center_rad"": 0.19527725005593774, ""angle_width_deg"": 36.34859699940783, ""edge_width_ratio"": 0.1413405574690364, ""n_particles"": 79, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.4256959083520124, ""radial_beta_beta"": 2.8012300601840012, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.89852302158602, ""wafer_radius_mm"": 150.0}",181
sample_000182,C04_Sector_Edge,weibull,"{""k"": 1.8120486662070905, ""lambda_um"": 0.25195953354926837, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,162,"{""angle_center_rad"": 4.071544553196242, ""angle_width_deg"": 78.83244582120325, ""edge_width_ratio"": 0.13284217110864188, ""n_particles"": 162, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.263903375412193, ""radial_beta_beta"": 1.9620756938695203, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.805979434243335, ""wafer_radius_mm"": 150.0}",182
sample_000183,C05_Sector_Internal,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.3120717715803178, ""per_sample"": true, ""sigma_log"": 0.41868523315287454}",,,178,"{""angle_center_rad"": 3.3200162033684104, ""angle_width_deg"": 110.67239460189356, ""edge_margin_norm"": 0.05, ""n_particles"": 178, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.28364724275773706, ""r_outer_ratio"": 0.8102366626253381, ""radial_beta_alpha"": 1.3082747768661178, ""radial_beta_beta"": 3.2249455397003057, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 7.153229381527594, ""wafer_radius_mm"": 150.0}",183
sample_000184,C11_Hotspot_Elliptic,pareto,"{""alpha"": 3.389493595781413, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.24536722723073068}",,,163,"{""center_angle"": ""random"", ""center_angle_rad"": 1.7074119142055106, ""center_radius_ratio"": 0.3773166113794998, ""mode"": ""random"", ""n_particles"": 163, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.7900406442680663, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.053200120521323946, ""sigma_y_ratio"": 0.01130259775812041, ""wafer_radius_mm"": 150.0}",184
sample_000185,C05_Sector_Internal,pareto,"{""alpha"": 1.976278045391989, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.27160847834260443}",,,60,"{""angle_center_rad"": 4.084576689621512, ""angle_width_deg"": 62.81772131044201, ""edge_margin_norm"": 0.05, ""n_particles"": 60, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.3603048875779764, ""r_outer_ratio"": 0.5010651519372273, ""radial_beta_alpha"": 1.6539259027061795, ""radial_beta_beta"": 2.6034713422365634, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 4.615782690176153, ""wafer_radius_mm"": 150.0}",185
sample_000186,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7732340044200344, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.052717749388981314}",,,36,"{""angle_deg"": 128.79337210620938, ""n_particles"": 36, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07015117204070082, ""params"": {""segment_half_length_norm"": 0.21255531561258675, ""width_norm"": 0.04916222885884372}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7151951518426787, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.047502807618659895}",186
sample_000187,C09_Spiral,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.29249932125677336, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.06028981927313923}",,,103,"{""end_r_ratio"": 0.9931474169809552, ""n_particles"": 103, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 13.837118318754994, ""width_norm"": 0.014516267593382193}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.10150989815113423, ""theta_max"": 13.794688564777623, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04766302668365545}",187
sample_000188,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.9352006192590383, ""per_sample"": true, ""sigma_log"": 0.5050932694924027}",,,127,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 5.753863841831748, ""arc_radius_ratio"": 0.6671396785559212, ""n_particles"": 127, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.8201965915367153, ""span_rad"": 0.44922194866588916, ""width_norm"": 0.049929936644668695}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 43.87818893363098, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.031535612546993046}",188
sample_000189,C07_StraightLine,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.195616880938933, ""per_sample"": true, ""sigma_log"": 0.7580809220049984}",,,24,"{""angle_deg"": 13.054785633283537, ""n_particles"": 24, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.0113475546556574, ""params"": {""segment_half_length_norm"": 0.06520874421240999, ""width_norm"": 0.03440108456599275}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3734182384687361, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.025303047702096928}",189
sample_000190,C01_Uniform,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.41380008154134656, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.05475987869072797}",,,83,"{""n_particles"": 83, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",190
