sample_id,split,label,n_particles
sample_000708,train,C03_Ring,185
sample_000709,train,C07_StraightLine,90
sample_000710,test,C02_EdgeBiased,23
sample_000711,train,C02_EdgeBiased,100
sample_000712,test,C09_Spiral,71
sample_000713,test,C01_Uniform,148
sample_000714,train,C04_Sector_Edge,47
sample_000715,train,C02_EdgeBiased,76
sample_000716,train,C04_Sector_Edge,82
sample_000717,train,C10_Hotspot_Iso,105
sample_000718,val,C02_EdgeBiased,134
sample_000719,val,C03_Ring,18
sample_000720,train,C08_CurvedScratch,186
sample_000721,train,C08_CurvedScratch,99
sample_000722,train,C04_Sector_Edge,187
sample_000723,train,C05_Sector_Internal,79
sample_000724,train,C05_Sector_Internal,50
sample_000725,train,C06_RadialLines,126
sample_000726,train,C08_CurvedScratch,46
sample_000727,train,C04_Sector_Edge,63
sample_000728,train,C05_Sector_Internal,124
sample_000729,train,C05_Sector_Internal,77
sample_000730,train,C09_Spiral,10
sample_000731,train,C10_Hotspot_Iso,67
sample_000732,train,C09_Spiral,10
sample_000733,train,C03_Ring,77
sample_000734,train,C06_RadialLines,148
sample_000735,train,C03_Ring,47
sample_000736,train,C02_EdgeBiased,81
sample_000737,train,C09_Spiral,141
sample_000738,train,C05_Sector_Internal,35
sample_000739,train,C10_Hotspot_Iso,155
sample_000740,train,C10_Hotspot_Iso,168
sample_000741,val,C05_Sector_Internal,194
sample_000742,train,C02_EdgeBiased,19
sample_000743,test,C10_Hotspot_Iso,137
sample_000744,train,C06_RadialLines,157
sample_000745,train,C06_RadialLines,153
sample_000746,train,C10_Hotspot_Iso,195
sample_000747,train,C04_Sector_Edge,16
sample_000748,train,C08_CurvedScratch,19
sample_000749,train,C02_EdgeBiased,186
sample_000750,train,C10_Hotspot_Iso,42
sample_000751,train,C01_Uniform,142
sample_000752,train,C07_StraightLine,41
sample_000753,train,C05_Sector_Internal,76
sample_000754,test,C06_RadialLines,57
sample_000755,train,C02_EdgeBiased,14
sample_000756,train,C08_CurvedScratch,67
sample_000757,train,C10_Hotspot_Iso,142
sample_000758,train,C03_Ring,31
sample_000759,train,C02_EdgeBiased,32
sample_000760,train,C09_Spiral,135
sample_000761,val,C02_EdgeBiased,60
sample_000762,test,C04_Sector_Edge,98
sample_000763,train,C10_Hotspot_Iso,77
sample_000764,train,C06_RadialLines,53
sample_000765,train,C10_Hotspot_Iso,120
sample_000766,train,C06_RadialLines,95
sample_000767,test,C06_RadialLines,37
sample_000768,train,C10_Hotspot_Iso,29
sample_000769,train,C08_CurvedScratch,76
sample_000770,train,C04_Sector_Edge,150
sample_000771,val,C10_Hotspot_Iso,100
sample_000772,train,C04_Sector_Edge,185
sample_000773,val,C05_Sector_Internal,49
sample_000774,train,C03_Ring,94
sample_000775,train,C09_Spiral,199
sample_000776,val,C07_StraightLine,17
sample_000777,test,C10_Hotspot_Iso,15
sample_000778,test,C01_Uniform,54
sample_000779,train,C07_StraightLine,54
sample_000780,train,C01_Uniform,167
sample_000781,train,C05_Sector_Internal,69
sample_000782,train,C06_RadialLines,16
sample_000783,train,C06_RadialLines,165
sample_000784,train,C01_Uniform,77
sample_000785,train,C01_Uniform,55
sample_000786,train,C08_CurvedScratch,103
sample_000787,train,C05_Sector_Internal,66
sample_000788,train,C06_RadialLines,18
sample_000789,train,C02_EdgeBiased,79
sample_000790,train,C06_RadialLines,15
sample_000791,train,C08_CurvedScratch,128
sample_000792,train,C08_CurvedScratch,65
sample_000793,train,C04_Sector_Edge,151
sample_000794,test,C07_StraightLine,126
sample_000795,train,C06_RadialLines,146
sample_000796,val,C06_RadialLines,186
sample_000797,train,C01_Uniform,53
sample_000798,train,C05_Sector_Internal,68
sample_000799,val,C05_Sector_Internal,154
sample_000800,train,C04_Sector_Edge,100
sample_000801,test,C02_EdgeBiased,103
sample_000802,test,C10_Hotspot_Iso,58
sample_000803,train,C10_Hotspot_Iso,194
sample_000804,train,C07_StraightLine,162
sample_000805,train,C10_Hotspot_Iso,170
sample_000806,train,C04_Sector_Edge,32
sample_000807,train,C04_Sector_Edge,93
sample_000808,train,C07_StraightLine,121
sample_000809,train,C04_Sector_Edge,173
sample_000810,val,C06_RadialLines,156
sample_000811,train,C06_RadialLines,115
sample_000812,val,C05_Sector_Internal,101
sample_000813,val,C03_Ring,67
sample_000814,train,C02_EdgeBiased,68
sample_000815,train,C10_Hotspot_Iso,110
sample_000816,train,C07_StraightLine,158
sample_000817,train,C02_EdgeBiased,37
sample_000818,val,C05_Sector_Internal,197
sample_000819,train,C07_StraightLine,33
sample_000820,train,C04_Sector_Edge,143
sample_000821,train,C10_Hotspot_Iso,192
sample_000822,train,C01_Uniform,78
sample_000823,train,C05_Sector_Internal,193
sample_000824,train,C09_Spiral,155
sample_000825,train,C07_StraightLine,68
sample_000826,train,C09_Spiral,101
sample_000827,train,C08_CurvedScratch,74
sample_000828,test,C01_Uniform,106
sample_000829,train,C05_Sector_Internal,198
sample_000830,train,C01_Uniform,155
sample_000831,train,C03_Ring,193
sample_000832,train,C04_Sector_Edge,143
sample_000833,val,C09_Spiral,31
sample_000834,train,C01_Uniform,119
sample_000835,val,C09_Spiral,162
sample_000836,val,C07_StraightLine,35
sample_000837,train,C09_Spiral,126
sample_000838,train,C10_Hotspot_Iso,125
sample_000839,train,C09_Spiral,65
sample_000840,train,C04_Sector_Edge,38
sample_000841,train,C04_Sector_Edge,54
sample_000842,train,C02_EdgeBiased,177
sample_000843,val,C05_Sector_Internal,37
sample_000844,val,C02_EdgeBiased,156
sample_000845,val,C10_Hotspot_Iso,191
sample_000846,val,C01_Uniform,95
sample_000847,train,C10_Hotspot_Iso,81
sample_000848,train,C01_Uniform,11
sample_000849,train,C09_Spiral,128
sample_000850,train,C05_Sector_Internal,77
sample_000851,train,C06_RadialLines,37
sample_000852,train,C09_Spiral,189
sample_000853,train,C10_Hotspot_Iso,152
sample_000854,train,C01_Uniform,163
sample_000855,train,C04_Sector_Edge,132
sample_000856,train,C04_Sector_Edge,99
sample_000857,train,C07_StraightLine,102
sample_000858,train,C10_Hotspot_Iso,168
sample_000859,train,C09_Spiral,56
sample_000860,train,C01_Uniform,34
sample_000861,val,C04_Sector_Edge,108
sample_000862,train,C09_Spiral,34
sample_000863,train,C05_Sector_Internal,132
sample_000864,train,C09_Spiral,104
sample_000865,train,C04_Sector_Edge,161
sample_000866,train,C01_Uniform,173
sample_000867,train,C02_EdgeBiased,193
sample_000868,train,C08_CurvedScratch,166
sample_000869,train,C02_EdgeBiased,10
sample_000870,train,C09_Spiral,188
sample_000871,train,C08_CurvedScratch,24
sample_000872,val,C07_StraightLine,21
sample_000873,train,C01_Uniform,74
sample_000874,train,C05_Sector_Internal,180
sample_000875,train,C08_CurvedScratch,61
sample_000876,val,C05_Sector_Internal,169
sample_000877,test,C10_Hotspot_Iso,107
sample_000878,train,C08_CurvedScratch,112
sample_000879,train,C04_Sector_Edge,163
sample_000880,train,C08_CurvedScratch,131
sample_000881,train,C02_EdgeBiased,195
sample_000882,val,C03_Ring,140
sample_000883,train,C06_RadialLines,33
sample_000884,val,C01_Uniform,194
sample_000885,train,C02_EdgeBiased,168
sample_000886,train,C01_Uniform,110
sample_000887,train,C02_EdgeBiased,52
sample_000888,test,C01_Uniform,135
sample_000889,train,C05_Sector_Internal,167
sample_000890,train,C06_RadialLines,130
sample_000891,train,C10_Hotspot_Iso,68
sample_000892,train,C10_Hotspot_Iso,184
sample_000893,train,C05_Sector_Internal,20
sample_000894,test,C10_Hotspot_Iso,54
sample_000895,train,C01_Uniform,104
sample_000896,train,C01_Uniform,140
sample_000897,train,C04_Sector_Edge,192
sample_000898,train,C02_EdgeBiased,156
sample_000899,val,C09_Spiral,162
sample_000900,train,C02_EdgeBiased,63
sample_000901,train,C04_Sector_Edge,70
sample_000902,val,C08_CurvedScratch,123
sample_000903,test,C03_Ring,161
sample_000904,test,C03_Ring,48
sample_000905,test,C08_CurvedScratch,162
sample_000906,train,C09_Spiral,178
sample_000907,train,C08_CurvedScratch,82
sample_000908,train,C09_Spiral,62
sample_000909,train,C10_Hotspot_Iso,100
sample_000910,train,C01_Uniform,125
sample_000911,train,C09_Spiral,152
sample_000912,train,C02_EdgeBiased,45
sample_000913,train,C08_CurvedScratch,186
sample_000914,train,C08_CurvedScratch,98
sample_000915,train,C03_Ring,38
sample_000916,train,C03_Ring,135
sample_000917,val,C02_EdgeBiased,56
sample_000918,train,C10_Hotspot_Iso,104
sample_000919,train,C05_Sector_Internal,98
sample_000920,train,C06_RadialLines,10
sample_000921,train,C02_EdgeBiased,158
sample_000922,val,C08_CurvedScratch,21
sample_000923,train,C08_CurvedScratch,160
sample_000924,train,C06_RadialLines,157
sample_000925,train,C04_Sector_Edge,136
sample_000926,train,C03_Ring,37
sample_000927,val,C10_Hotspot_Iso,45
sample_000928,train,C01_Uniform,119
sample_000929,train,C09_Spiral,40
sample_000930,train,C05_Sector_Internal,39
sample_000931,train,C04_Sector_Edge,60
sample_000932,train,C01_Uniform,142
sample_000933,train,C02_EdgeBiased,115
sample_000934,val,C02_EdgeBiased,175
sample_000935,test,C03_Ring,104
sample_000936,train,C03_Ring,184
sample_000937,train,C04_Sector_Edge,80
sample_000938,train,C03_Ring,141
sample_000939,train,C04_Sector_Edge,27
sample_000940,train,C01_Uniform,105
sample_000941,train,C08_CurvedScratch,175
sample_000942,test,C05_Sector_Internal,90
sample_000943,train,C08_CurvedScratch,131
sample_000944,train,C03_Ring,169
sample_000945,train,C10_Hotspot_Iso,133
sample_000946,train,C09_Spiral,107
sample_000947,train,C03_Ring,52
sample_000948,train,C09_Spiral,155
sample_000949,train,C05_Sector_Internal,35
sample_000950,train,C05_Sector_Internal,143
sample_000951,train,C07_StraightLine,176
sample_000952,train,C05_Sector_Internal,178
sample_000953,train,C02_EdgeBiased,31
sample_000954,train,C05_Sector_Internal,73
sample_000955,train,C02_EdgeBiased,41
sample_000956,train,C03_Ring,179
sample_000957,val,C04_Sector_Edge,21
sample_000958,train,C03_Ring,152
sample_000959,test,C05_Sector_Internal,23
sample_000960,train,C08_CurvedScratch,38
sample_000961,train,C09_Spiral,10
sample_000962,test,C08_CurvedScratch,72
sample_000963,train,C04_Sector_Edge,22
sample_000964,val,C02_EdgeBiased,116
sample_000965,val,C06_RadialLines,73
sample_000966,train,C07_StraightLine,193
sample_000967,train,C03_Ring,127
sample_000968,train,C10_Hotspot_Iso,19
sample_000969,train,C09_Spiral,109
sample_000970,train,C08_CurvedScratch,39
sample_000971,train,C03_Ring,124
sample_000972,train,C06_RadialLines,177
sample_000973,train,C04_Sector_Edge,139
sample_000974,train,C01_Uniform,123
sample_000975,test,C01_Uniform,41
sample_000976,test,C09_Spiral,55
sample_000977,train,C03_Ring,146
sample_000978,train,C01_Uniform,139
sample_000979,test,C08_CurvedScratch,57
sample_000980,train,C07_StraightLine,91
sample_000981,train,C07_StraightLine,44
sample_000982,train,C05_Sector_Internal,111
sample_000983,train,C01_Uniform,84
sample_000984,train,C01_Uniform,113
sample_000985,train,C09_Spiral,65
sample_000986,train,C01_Uniform,157
sample_000987,val,C06_RadialLines,182
sample_000988,train,C08_CurvedScratch,104
sample_000989,train,C05_Sector_Internal,100
sample_000990,train,C08_CurvedScratch,150
sample_000991,train,C07_StraightLine,15
sample_000992,train,C08_CurvedScratch,121
sample_000993,train,C03_Ring,93
sample_000994,train,C04_Sector_Edge,134
sample_000995,train,C10_Hotspot_Iso,161
sample_000996,train,C08_CurvedScratch,155
sample_000997,train,C02_EdgeBiased,90
sample_000998,train,C09_Spiral,164
sample_000999,train,C10_Hotspot_Iso,31
