sample_id,label,label_coarse,n_particles,pattern_params,seed_offset
sample_000163,C01_Uniform,,1512,"{""n_particles"": 1512, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",163
sample_000164,ring_narrow,ring,1021,"{""n_particles"": 1021, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",164
sample_000165,C04_Sector_Edge,,1244,"{""angle_center_rad"": 4.087694147919558, ""angle_width_deg"": 32.72536438125085, ""edge_width_ratio"": 0.2553058152810899, ""n_particles"": 1244, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.074249822707533, ""radial_beta_beta"": 1.9872846870366252, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.559141589852073, ""wafer_radius_mm"": 150.0}",165
sample_000166,C07_StraightLine,,1525,"{""angle_deg"": 60.32002562767792, ""n_particles"": 1525, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.21485241960943896, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.37756039367078414, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.013754558061420969}",166
sample_000167,ring_narrow,ring,1113,"{""n_particles"": 1113, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",167
sample_000168,C07_StraightLine,,1101,"{""angle_deg"": 18.830966722263558, ""n_particles"": 1101, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.07133845637196268, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5286552837269822, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04455506848987899}",168
sample_000169,ring_narrow,ring,1109,"{""n_particles"": 1109, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",169
sample_000170,scratch_horizontal,line,823,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 823, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",170
sample_000171,C03_Ring,,1172,"{""n_particles"": 1172, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7208999369689844, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.044000838064635284}",171
sample_000172,C01_Uniform,,1506,"{""n_particles"": 1506, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",172
sample_000173,C01_Uniform,,619,"{""n_particles"": 619, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",173
sample_000174,C07_StraightLine,,1393,"{""angle_deg"": 114.97618086899631, ""n_particles"": 1393, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.12488355964634099, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6506048083978886, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.021725922108420104}",174
sample_000175,C11_Hotspot_Elliptic,,1454,"{""center_angle"": ""random"", ""center_angle_rad"": 3.6503722311959548, ""center_radius_ratio"": 0.5106600652523569, ""mode"": ""random"", ""n_particles"": 1454, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.337343719907326, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04334147710658379, ""sigma_y_ratio"": 0.05605049086922105, ""wafer_radius_mm"": 150.0}",175
sample_000176,ring_narrow,ring,803,"{""n_particles"": 803, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",176
sample_000177,C04_Sector_Edge,,1373,"{""angle_center_rad"": 3.061279228143478, ""angle_width_deg"": 25.991310329956892, ""edge_width_ratio"": 0.21804271609473314, ""n_particles"": 1373, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.082801670836312, ""radial_beta_beta"": 2.0675375264054345, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 3.1198979221132896, ""wafer_radius_mm"": 150.0}",177
sample_000178,C07_StraightLine,,892,"{""angle_deg"": 71.16268602094034, ""n_particles"": 892, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.031652881127153476, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4257061262188102, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020312378657314722}",178
sample_000179,random_edge_biased,random,522,"{""edge_bias"": 2.0, ""n_particles"": 522, ""name"": ""wafer_particles.pattern.random_edge_biased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",179
sample_000180,C01_Uniform,,1215,"{""n_particles"": 1215, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",180
sample_000181,C04_Sector_Edge,,1069,"{""angle_center_rad"": 0.19527725005593774, ""angle_width_deg"": 36.34859699940783, ""edge_width_ratio"": 0.1413405574690364, ""n_particles"": 1069, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.4256959083520124, ""radial_beta_beta"": 2.8012300601840012, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.89852302158602, ""wafer_radius_mm"": 150.0}",181
sample_000182,C03_Ring,,1269,"{""n_particles"": 1269, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7240032208300322, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.17128343211166552}",182
sample_000183,C04_Sector_Edge,,1286,"{""angle_center_rad"": 3.3200162033684104, ""angle_width_deg"": 82.74519580147276, ""edge_width_ratio"": 0.21689088768409787, ""n_particles"": 1286, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.696031060035546, ""radial_beta_beta"": 0.9044078205494708, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.920709414116322, ""wafer_radius_mm"": 150.0}",183
sample_000184,ring_narrow,ring,763,"{""n_particles"": 763, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",184
sample_000185,C04_Sector_Edge,,918,"{""angle_center_rad"": 4.084576689621512, ""angle_width_deg"": 45.52489435256601, ""edge_width_ratio"": 0.27164634826998313, ""n_particles"": 918, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.7851527605760547, ""radial_beta_beta"": 1.237714263323816, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 0.5289112668675983, ""wafer_radius_mm"": 150.0}",185
sample_000186,C07_StraightLine,,727,"{""angle_deg"": 128.79337210620938, ""n_particles"": 727, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07015117204070082, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7151951518426787, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.047502807618659895}",186
sample_000187,C11_Hotspot_Elliptic,,1260,"{""center_angle"": ""random"", ""center_angle_rad"": 0.423582437821837, ""center_radius_ratio"": 0.853260533673109, ""mode"": ""random"", ""n_particles"": 1260, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 6.139665144041285, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08379717930739208, ""sigma_y_ratio"": 0.03368564290193132, ""wafer_radius_mm"": 150.0}",187
sample_000188,C07_StraightLine,,1455,"{""angle_deg"": 96.17028428013158, ""n_particles"": 1455, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2494535233831477, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.36405317969368145, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.024382051292293747}",188
sample_000189,C07_StraightLine,,627,"{""angle_deg"": 13.054785633283537, ""n_particles"": 627, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.0113475546556574, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3734182384687361, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.025303047702096928}",189
sample_000190,C01_Uniform,,1098,"{""n_particles"": 1098, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",190
sample_000191,C03_Ring,,1419,"{""n_particles"": 1419, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6400512943911698, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.14810582611506143}",191
sample_000192,C07_StraightLine,,940,"{""angle_deg"": 127.94602958272124, ""n_particles"": 940, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.04212998355485159, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.38212873081956267, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04146118745395581}",192
sample_000193,radial_lines,line,1524,"{""angular_jitter_deg"": 2.0, ""n_lines"": 6, ""n_particles"": 1524, ""name"": ""wafer_particles.pattern.radial_lines"", ""r_max_ratio"": 1.0, ""r_min_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",193
sample_000194,ring_narrow,ring,1479,"{""n_particles"": 1479, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",194
sample_000195,C01_Uniform,,1182,"{""n_particles"": 1182, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",195
sample_000196,C03_Ring,,551,"{""n_particles"": 551, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.44450034423918927, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.04641622271748272}",196
sample_000197,scratch_vertical,line,1068,"{""angle_category"": ""vertical"", ""length_ratio"": 1.0, ""n_particles"": 1068, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",197
sample_000198,ring_wide,ring,1156,"{""n_particles"": 1156, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",198
sample_000199,C11_Hotspot_Elliptic,,1098,"{""center_angle"": ""random"", ""center_angle_rad"": 4.052389759254852, ""center_radius_ratio"": 0.7578400233263111, ""mode"": ""random"", ""n_particles"": 1098, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.0035973601137185, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.07190954322680544, ""sigma_y_ratio"": 0.03509596085714688, ""wafer_radius_mm"": 150.0}",199
sample_000200,C07_StraightLine,,1086,"{""angle_deg"": 18.327199451701553, ""n_particles"": 1086, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.08643654632435299, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.7910078747553748, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.00988362700602706}",200
sample_000201,C03_Ring,,1088,"{""n_particles"": 1088, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6759907138159297, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1112356028142075}",201
sample_000202,C01_Uniform,,631,"{""n_particles"": 631, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",202
sample_000203,C03_Ring,,1140,"{""n_particles"": 1140, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7512570169193493, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1751676144537797}",203
sample_000204,C11_Hotspot_Elliptic,,988,"{""center_angle"": ""random"", ""center_angle_rad"": 4.495033120295252, ""center_radius_ratio"": 0.47537371333695666, ""mode"": ""random"", ""n_particles"": 988, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.275032290217321, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.07789015856002528, ""sigma_y_ratio"": 0.04648812894336478, ""wafer_radius_mm"": 150.0}",204
sample_000205,C07_StraightLine,,781,"{""angle_deg"": 12.826219007581683, ""n_particles"": 781, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.009545625922987078, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3153242395585094, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03086841640897933}",205
sample_000206,hotspot_center,hotspot,881,"{""center_angle"": ""random"", ""center_radius_ratio"": 0.9, ""mode"": ""center"", ""n_particles"": 881, ""name"": ""wafer_particles.pattern.hotspot"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_ratio"": 0.05, ""wafer_radius_mm"": 150.0}",206
sample_000207,scratch_vertical,line,925,"{""angle_category"": ""vertical"", ""length_ratio"": 1.0, ""n_particles"": 925, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",207
sample_000208,C03_Ring,,1399,"{""n_particles"": 1399, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.44656840920663093, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.08509111458164587}",208
sample_000209,C04_Sector_Edge,,1115,"{""angle_center_rad"": 4.934484195305183, ""angle_width_deg"": 65.92802300248638, ""edge_width_ratio"": 0.16478038462617367, ""n_particles"": 1115, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.4484237412225474, ""radial_beta_beta"": 1.8823625861800741, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 3.003342050457335, ""wafer_radius_mm"": 150.0}",209
sample_000210,C01_Uniform,,1109,"{""n_particles"": 1109, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",210
sample_000211,C03_Ring,,1133,"{""n_particles"": 1133, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7135010489570517, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.08729984382362577}",211
sample_000212,C01_Uniform,,1161,"{""n_particles"": 1161, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",212
sample_000213,C07_StraightLine,,656,"{""angle_deg"": 120.51708811664277, ""n_particles"": 656, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.24594436107889, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3475699322308888, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.028298505930270713}",213
sample_000214,C03_Ring,,732,"{""n_particles"": 732, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7115672624474887, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.14768164814390106}",214
sample_000215,C07_StraightLine,,1440,"{""angle_deg"": 96.49114627278054, ""n_particles"": 1440, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.1843408111713784, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.3612948672675895, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01682562696836405}",215
sample_000216,C01_Uniform,,1075,"{""n_particles"": 1075, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",216
sample_000217,C04_Sector_Edge,,1451,"{""angle_center_rad"": 2.274847847283549, ""angle_width_deg"": 57.18494496213989, ""edge_width_ratio"": 0.06033112822308924, ""n_particles"": 1451, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.6403593480195886, ""radial_beta_beta"": 1.155701867048042, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 4.575690493367001, ""wafer_radius_mm"": 150.0}",217
sample_000218,ring_narrow,ring,1437,"{""n_particles"": 1437, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",218
sample_000219,ring_wide,ring,936,"{""n_particles"": 936, ""name"": ""wafer_particles.pattern.ring_wide"", ""radius_ratio"": 0.6, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.15}",219
sample_000220,C04_Sector_Edge,,632,"{""angle_center_rad"": 4.272007527461993, ""angle_width_deg"": 40.30351990539231, ""edge_width_ratio"": 0.10891579351952373, ""n_particles"": 632, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.5503182288322837, ""radial_beta_beta"": 0.8203907875729209, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.341487274373842, ""wafer_radius_mm"": 150.0}",220
sample_000221,C11_Hotspot_Elliptic,,823,"{""center_angle"": ""random"", ""center_angle_rad"": 5.096123423817434, ""center_radius_ratio"": 0.49384701868884257, ""mode"": ""random"", ""n_particles"": 823, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 5.508702859702675, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.08869705074093281, ""sigma_y_ratio"": 0.07771288329951637, ""wafer_radius_mm"": 150.0}",221
sample_000222,C11_Hotspot_Elliptic,,1357,"{""center_angle"": ""random"", ""center_angle_rad"": 2.397279321289584, ""center_radius_ratio"": 0.25307299128629973, ""mode"": ""random"", ""n_particles"": 1357, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.8785673179610027, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.05874949624151815, ""sigma_y_ratio"": 0.043676300923959105, ""wafer_radius_mm"": 150.0}",222
sample_000223,C03_Ring,,1001,"{""n_particles"": 1001, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8773654853113182, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.11933090751652274}",223
sample_000224,C01_Uniform,,1308,"{""n_particles"": 1308, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",224
sample_000225,C01_Uniform,,1097,"{""n_particles"": 1097, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",225
sample_000226,C04_Sector_Edge,,1223,"{""angle_center_rad"": 2.0618191407130593, ""angle_width_deg"": 73.62154592532538, ""edge_width_ratio"": 0.18022452915896642, ""n_particles"": 1223, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.1126458595974222, ""radial_beta_beta"": 1.153014865751686, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 9.927777754978576, ""wafer_radius_mm"": 150.0}",226
sample_000227,C01_Uniform,,694,"{""n_particles"": 694, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",227
sample_000228,C04_Sector_Edge,,697,"{""angle_center_rad"": 5.431163390468361, ""angle_width_deg"": 31.802094013860504, ""edge_width_ratio"": 0.16494762980509414, ""n_particles"": 697, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.387280730256876, ""radial_beta_beta"": 2.780075360035492, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 9.092759888508366, ""wafer_radius_mm"": 150.0}",228
sample_000229,C04_Sector_Edge,,1210,"{""angle_center_rad"": 1.4628298722028217, ""angle_width_deg"": 49.277939919800396, ""edge_width_ratio"": 0.21374644452564756, ""n_particles"": 1210, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.9707693431038593, ""radial_beta_beta"": 2.819243557038961, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.747410498592718, ""wafer_radius_mm"": 150.0}",229
sample_000230,C11_Hotspot_Elliptic,,768,"{""center_angle"": ""random"", ""center_angle_rad"": 0.3774905221663978, ""center_radius_ratio"": 0.6017413457188469, ""mode"": ""random"", ""n_particles"": 768, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 6.051456520174929, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10505009071646361, ""sigma_y_ratio"": 0.011862441314355723, ""wafer_radius_mm"": 150.0}",230
sample_000231,C04_Sector_Edge,,948,"{""angle_center_rad"": 2.0651560813492256, ""angle_width_deg"": 24.89417030452153, ""edge_width_ratio"": 0.2446345468572284, ""n_particles"": 948, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.5130003955737905, ""radial_beta_beta"": 2.669023403916904, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.459369412894551, ""wafer_radius_mm"": 150.0}",231
sample_000232,C03_Ring,,578,"{""n_particles"": 578, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4472393556355685, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.19207169715311817}",232
sample_000233,C07_StraightLine,,777,"{""angle_deg"": 164.89462343273553, ""n_particles"": 777, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.17677393279336762, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.5978714535403973, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.014918561786798425}",233
sample_000234,edge_sector_left,sector,929,"{""angle_width_deg"": 40.0, ""edge_width_ratio"": 0.1, ""n_particles"": 929, ""name"": ""wafer_particles.pattern.edge_sector"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""left"", ""wafer_radius_mm"": 150.0}",234
sample_000235,C01_Uniform,,686,"{""n_particles"": 686, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",235
sample_000236,ring_narrow,ring,1051,"{""n_particles"": 1051, ""name"": ""wafer_particles.pattern.ring_narrow"", ""radius_ratio"": 0.7, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03}",236
sample_000237,C04_Sector_Edge,,555,"{""angle_center_rad"": 4.555897549657983, ""angle_width_deg"": 74.36692060938535, ""edge_width_ratio"": 0.17653869414547857, ""n_particles"": 555, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.9846989753280546, ""radial_beta_beta"": 2.1699902461525444, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.883196023454227, ""wafer_radius_mm"": 150.0}",237
sample_000238,C01_Uniform,,1374,"{""n_particles"": 1374, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",238
sample_000239,scratch_horizontal,line,521,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 521, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",239
sample_000240,C11_Hotspot_Elliptic,,1164,"{""center_angle"": ""random"", ""center_angle_rad"": 0.011690185908743971, ""center_radius_ratio"": 0.21988331010563342, ""mode"": ""random"", ""n_particles"": 1164, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.5825694033643347, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.10569793216997354, ""sigma_y_ratio"": 0.042745027220595117, ""wafer_radius_mm"": 150.0}",240
sample_000241,C04_Sector_Edge,,737,"{""angle_center_rad"": 0.0763478801169854, ""angle_width_deg"": 70.88762873744757, ""edge_width_ratio"": 0.20491677891015248, ""n_particles"": 737, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.112129400975963, ""radial_beta_beta"": 2.624255186147588, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.6862355279763435, ""wafer_radius_mm"": 150.0}",241
sample_000242,C03_Ring,,670,"{""n_particles"": 670, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.42575353370765223, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.045917851075722105}",242
